['https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087481_0.0_AE.png', 'https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087581_9.0_AE.png', 'Different', '0', '1', 85, 0],
['https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087486_0.0_AE.png', 'https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087534_9.0_AE.png', 'Different', '0', '1', 89, 0],
['https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/076493.jpg', 'https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/101907.jpg', 'ground_truth', '1', '0', 92, 0],
['https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087478_0.0_AE.png', 'https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087578_9.0_AE.png', 'Different', '0', '1', 82, 0],
['https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087574_9.0_AE.png', 'https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087474_0.0_AE.png', 'Different', '1', '0', 78, 1],
['https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087440_0.0_AE.png', 'https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087580_9.0_AE.png', 'Different', '0', '1', 46, 0],
['https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087392_9.0_AE.png', 'https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087392_0.0_AE.png', 'Same', '1', '0', 1, 1],
['https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087448_0.0_AE.png', 'https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087557_9.0_AE.png', 'Different', '0', '1', 54, 1],
['https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087551_9.0_AE.png', 'https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087451_0.0_AE.png', 'Different', '1', '0', 57, 0],
['https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087546_9.0_AE.png', 'https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087446_0.0_AE.png', 'Different', '1', '0', 52, 0],
['https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087405_0.0_AE.png', 'https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087405_9.0_AE.png', 'Same', '0', '1', 13, 1],
['https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087399_0.0_AE.png', 'https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087399_9.0_AE.png', 'Same', '0', '1', 7, 0],
['https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087569_9.0_AE.png', 'https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087469_0.0_AE.png', 'Different', '1', '0', 73, 0],
['https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087415_9.0_AE.png', 'https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087415_0.0_AE.png', 'Same', '1', '0', 23, 1],
['https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087558_9.0_AE.png', 'https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087458_0.0_AE.png', 'Different', '1', '0', 63, 0],
['https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087582_9.0_AE.png', 'https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087483_0.0_AE.png', 'Different', '1', '0', 86, 0],
['https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087417_0.0_AE.png', 'https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087417_9.0_AE.png', 'Same', '0', '1', 25, 0],
['https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087426_0.0_AE.png', 'https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087426_9.0_AE.png', 'Same', '0', '1', 34, 0],
['https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087577_9.0_AE.png', 'https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087477_0.0_AE.png', 'Different', '1', '0', 81, 0],
['https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087541_9.0_AE.png', 'https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087441_0.0_AE.png', 'Different', '1', '0', 47, 1],
['https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087415_0.0_AE.png', 'https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087415_9.0_AE.png', 'Same', '0', '1', 23, 0],
['https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087424_0.0_AE.png', 'https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087424_9.0_AE.png', 'Same', '0', '1', 32, 0],
['https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087442_0.0_AE.png', 'https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087542_9.0_AE.png', 'Different', '0', '1', 48, 0],
['https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087550_9.0_AE.png', 'https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087450_0.0_AE.png', 'Different', '1', '0', 56, 0],
['https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087391_0.0_AE.png', 'https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087391_9.0_AE.png', 'Same', '0', '1', 0, 0],
['https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087436_0.0_AE.png', 'https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087436_9.0_AE.png', 'Same', '0', '1', 43, 0],
['https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087414_0.0_AE.png', 'https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087414_9.0_AE.png', 'Same', '0', '1', 22, 0],
['https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087465_0.0_AE.png', 'https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087468_9.0_AE.png', 'Different', '0', '1', 70, 0],
['https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087420_0.0_AE.png', 'https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087420_9.0_AE.png', 'Same', '0', '1', 28, 0],
['https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087401_0.0_AE.png', 'https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087401_9.0_AE.png', 'Same', '0', '1', 9, 0],
['https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087419_9.0_AE.png', 'https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087419_0.0_AE.png', 'Same', '1', '0', 27, 1],
['https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087409_0.0_AE.png', 'https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087409_9.0_AE.png', 'Same', '0', '1', 17, 0],
['https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087418_9.0_AE.png', 'https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087418_0.0_AE.png', 'Same', '1', '0', 26, 0],
['https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087551_9.0_AE.png', 'https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087451_0.0_AE.png', 'Different', '1', '0', 57, 1],
['https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087421_9.0_AE.png', 'https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087421_0.0_AE.png', 'Same', '1', '0', 29, 0],
['https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087553_9.0_AE.png', 'https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087453_0.0_AE.png', 'Different', '1', '0', 59, 0],
['https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087575_9.0_AE.png', 'https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087475_0.0_AE.png', 'Different', '1', '0', 79, 0],
['https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087471_0.0_AE.png', 'https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087571_9.0_AE.png', 'Different', '0', '1', 75, 0],
['https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087422_9.0_AE.png', 'https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087422_0.0_AE.png', 'Same', '1', '0', 30, 0],
['https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087438_0.0_AE.png', 'https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087538_9.0_AE.png', 'Different', '0', '1', 45, 0],
['https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087449_0.0_AE.png', 'https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087549_9.0_AE.png', 'Different', '0', '1', 55, 0],
['https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087574_9.0_AE.png', 'https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087474_0.0_AE.png', 'Different', '1', '0', 78, 0],
['https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087405_0.0_AE.png', 'https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087405_9.0_AE.png', 'Same', '0', '1', 13, 0],
['https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087416_0.0_AE.png', 'https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087416_9.0_AE.png', 'Same', '0', '1', 24, 0],
['https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087463_0.0_AE.png', 'https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087563_9.0_AE.png', 'Different', '0', '1', 68, 0],
['https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087397_9.0_AE.png', 'https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087397_0.0_AE.png', 'Same', '1', '0', 5, 1],
['https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087124.jpg', 'https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/038546.jpg', 'ground_truth', '0', '1', 94, 0],
['https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087467_0.0_AE.png', 'https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087567_9.0_AE.png', 'Different', '0', '1', 72, 0],
['https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087397_0.0_AE.png', 'https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087397_9.0_AE.png', 'Same', '0', '1', 5, 0],
['https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087425_9.0_AE.png', 'https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087425_0.0_AE.png', 'Same', '1', '0', 33, 1],
['https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087423_0.0_AE.png', 'https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087423_9.0_AE.png', 'Same', '0', '1', 31, 0],
['https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087433_0.0_AE.png', 'https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087433_9.0_AE.png', 'Same', '0', '1', 41, 0],
['https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087427_9.0_AE.png', 'https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087427_0.0_AE.png', 'Same', '1', '0', 35, 0],
['https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087434_9.0_AE.png', 'https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087434_0.0_AE.png', 'Same', '1', '0', 42, 1],
['https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087434_9.0_AE.png', 'https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087434_0.0_AE.png', 'Same', '1', '0', 42, 0],
['https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087408_0.0_AE.png', 'https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087408_9.0_AE.png', 'Same', '0', '1', 16, 0],
['https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087425_9.0_AE.png', 'https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087425_0.0_AE.png', 'Same', '1', '0', 33, 0],
['https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087406_0.0_AE.png', 'https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087406_9.0_AE.png', 'Same', '0', '1', 14, 0],
['https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087540_9.0_AE.png', 'https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087480_0.0_AE.png', 'Different', '1', '0', 84, 0],
['https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087459_0.0_AE.png', 'https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087559_9.0_AE.png', 'Different', '0', '1', 64, 0],
['https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087413_0.0_AE.png', 'https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087413_9.0_AE.png', 'Same', '0', '1', 21, 1],
['https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087431_0.0_AE.png', 'https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087431_9.0_AE.png', 'Same', '0', '1', 39, 0],
['https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087403_9.0_AE.png', 'https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087403_0.0_AE.png', 'Same', '1', '0', 11, 0],
['https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087454_0.0_AE.png', 'https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087554_9.0_AE.png', 'Different', '0', '1', 60, 0],
['https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/066743.jpg', 'https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/127601.jpg', 'ground_truth', '0', '1', 93, 0],
['https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087447_0.0_AE.png', 'https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087547_9.0_AE.png', 'Different', '0', '1', 53, 1],
['https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087412_9.0_AE.png', 'https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087412_0.0_AE.png', 'Same', '1', '0', 20, 0],
['https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087554_9.0_AE.png', 'https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087454_0.0_AE.png', 'Different', '1', '0', 60, 1],
['https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087429_9.0_AE.png', 'https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087429_0.0_AE.png', 'Same', '1', '0', 37, 0],
['https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087476_0.0_AE.png', 'https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087568_9.0_AE.png', 'Different', '0', '1', 80, 0],
['https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/095605.jpg', 'https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/144125.jpg', 'ground_truth', '0', '1', 98, 0],
['https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087544_9.0_AE.png', 'https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087444_0.0_AE.png', 'Different', '1', '0', 50, 0],
['https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/113079.jpg', 'https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/086142.jpg', 'ground_truth', '1', '0', 90, 0],
['https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087534_9.0_AE.png', 'https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087486_0.0_AE.png', 'Different', '1', '0', 89, 1],
['https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087441_0.0_AE.png', 'https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087541_9.0_AE.png', 'Different', '0', '1', 47, 0],
['https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087404_0.0_AE.png', 'https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087404_9.0_AE.png', 'Same', '0', '1', 12, 0],
['https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087445_0.0_AE.png', 'https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087545_9.0_AE.png', 'Different', '0', '1', 51, 0],
['https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087547_9.0_AE.png', 'https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087447_0.0_AE.png', 'Different', '1', '0', 53, 0],
['https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/028757.jpg', 'https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/063159.jpg', 'ground_truth', '1', '0', 97, 0],
['https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087461_0.0_AE.png', 'https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087561_9.0_AE.png', 'Different', '0', '1', 66, 1],
['https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087394_9.0_AE.png', 'https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087394_0.0_AE.png', 'Same', '1', '0', 3, 0],
['https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087472_0.0_AE.png', 'https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087572_9.0_AE.png', 'Different', '0', '1', 76, 0],
['https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087479_0.0_AE.png', 'https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087579_9.0_AE.png', 'Different', '0', '1', 83, 0],
['https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087473_0.0_AE.png', 'https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087573_9.0_AE.png', 'Different', '0', '1', 77, 0],
['https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087452_0.0_AE.png', 'https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087552_9.0_AE.png', 'Different', '0', '1', 58, 0],
['https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087450_0.0_AE.png', 'https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087550_9.0_AE.png', 'Different', '0', '1', 56, 1],
['https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087396_9.0_AE.png', 'https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087396_0.0_AE.png', 'Same', '1', '0', 4, 0],
['https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087411_0.0_AE.png', 'https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087411_9.0_AE.png', 'Same', '0', '1', 19, 0],
['https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087410_0.0_AE.png', 'https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087410_9.0_AE.png', 'Same', '0', '1', 18, 0],
['https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087392_0.0_AE.png', 'https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087392_9.0_AE.png', 'Same', '0', '1', 1, 0],
['https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087570_9.0_AE.png', 'https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087470_0.0_AE.png', 'Different', '1', '0', 74, 0],
['https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087400_9.0_AE.png', 'https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087400_0.0_AE.png', 'Same', '1', '0', 8, 0],
['https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087542_9.0_AE.png', 'https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087442_0.0_AE.png', 'Different', '1', '0', 48, 1],
['https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087402_9.0_AE.png', 'https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087402_0.0_AE.png', 'Same', '1', '0', 10, 0],
['https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087432_9.0_AE.png', 'https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087432_0.0_AE.png', 'Same', '1', '0', 40, 0],
['https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087407_0.0_AE.png', 'https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087407_9.0_AE.png', 'Same', '0', '1', 15, 0],
['https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/029805.jpg', 'https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/142336.jpg', 'ground_truth', '0', '1', 96, 0],
['https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087455_0.0_AE.png', 'https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087555_9.0_AE.png', 'Different', '0', '1', 61, 0],
['https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087461_0.0_AE.png', 'https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087561_9.0_AE.png', 'Different', '0', '1', 66, 0],
['https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/046077.jpg', 'https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/065232.jpg', 'ground_truth', '0', '1', 91, 0],
['https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087398_9.0_AE.png', 'https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087398_0.0_AE.png', 'Same', '1', '0', 6, 0],
['https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087557_9.0_AE.png', 'https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087448_0.0_AE.png', 'Different', '1', '0', 54, 0],
['https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087464_0.0_AE.png', 'https://raw.githubusercontent.com/amandasongmm/impression_personality/master/static/amt_aggressive/087529_9.0_AE.png', 'Different', '0', '1', 69, 0],
